FIPS,state,county name,income,unemployment_rate,less_HS,at_HS,some_college,BS_and_above,All Gender All Race,Male All Race,Female All Race,All Gender White,Male White,Female White,All Gender Black,Male Black,All Gender Hispanic,Male Hispanic,All Gender Asian and Pacific Islander,All Gender American Indian and Alaskan Native,Male American Indian and Alaskan Native,Female American Indian and Alaskan Native,Female Black,Female Hispanic,Male Asian and Pacific Islander,Female Asian and Pacific Islander
01001,AL,Autauga County,61500,5.8,14.88732074,33.78670612,29.6181425,21.70783064,425,533.8,337,427.8,518,354.1,442.6,626.3,null,null,null,null,null,null,290.7,null,null,null
01003,AL,Baldwin County,60400,6.1,11.62244345,28.81646251,31.81950326,27.74159078,383.5,482.4,302.3,385.8,481,307.1,427.7,553.7,241.2,291.4,98.4,325,451,null,343.8,null,null,null
01005,AL,Barbour County,44400,10.5,26.4092298,33.29470024,25.7717838,14.52428617,493.8,630.4,356,437.3,521.8,333.7,547,820,null,null,null,null,null,null,379,null,null,null
01007,AL,Bibb County,57100,7.2,23.85616703,41.60974352,25.5380848,8.99600464,433.8,555.4,325.7,415.1,526.5,311.6,466.8,612.4,169.2,179.1,null,null,null,null,359.4,131.6,null,null
01009,AL,Blount County,57100,6.1,24.33661473,36.15740382,27.12451231,12.38146914,416.5,506.2,333.5,424.6,517.4,339.9,439.8,569.7,165.4,219.4,null,null,null,null,355.9,null,null,null
01011,AL,Bullock County,40200,8.8,29.68976898,36.02640264,22.40264026,11.88118812,433.1,504,340.9,390.1,484.8,305.1,461.8,550.2,null,null,null,null,null,null,364.6,null,null,null
01013,AL,Butler County,39800,8.5,23.72700802,38.79696044,24.6076273,12.86840423,467,570.6,392.6,472.8,612.6,370,435.5,453.1,null,null,null,null,null,null,430.1,null,null,null
01015,AL,Calhoun County,53100,7.9,21.20352988,33.49041544,29.28623424,16.01982044,586.1,726.4,470.3,585.5,729.2,464.5,597.5,759.6,null,null,null,null,null,null,517.3,null,null,null
01017,AL,Chambers County,42000,6.7,26.22242919,35.04085348,27.71262859,11.02408873,389.4,500.3,313.2,361.1,442.7,298.8,489.7,717.7,null,null,null,null,null,null,389.1,null,null,null
01019,AL,Cherokee County,50300,5.8,22.92060747,33.54050694,30.41128466,13.12760093,490.8,598,422.4,492.7,603.5,423.1,570,758.5,null,null,null,null,null,null,459.2,null,null,null
